district,x,y
Adilabad,-133,253
Kumurambheem Asifabad,-43,225
Nirmal,-170,190
Mancherial,-7,166
Nizamabad,-196,122
Jagtial,-89,144
Peddapalli,-8,109
Kamareddy,-224,67
Rajanna Sircilla,-108,83
Karimnagar,-36,74
Jayashankar Bhupalpally,50,86
Medak,-183,14
Siddipet,-96,18
Hanumakonda,-7,22
Warangal,44,6
Mulugu,115,54
Sangareddy,-256,-20
Medchal,-144,-39
Malkajgiri,-131,-54
Yadadri Bhuvanagiri,-89,-74
Jangaon,-36,-23
Mahabubabad,46,-49
Bhadradri Kothagudem,136,-10
Vikarabad,-272,-98
Hyderabad,-142,-74
Rangareddy,-186,-113
Narayanpet,-284,-189
Mahabubnagar,-232,-163
Nalgonda,-68,-152
Suryapet,28,-126
Khammam,95,-94
Jogulamba Gadwal,-273,-265
Wanaparthy,-235,-228
Nagarkurnool,-164,-245